Instance,User,Simulation,Solver,Computation Time(s),Total Allocated Demand
4,500,0,CP-SAT,0.113653916,979500.0
4,500,1,CP-SAT,0.173906917,983450.0
4,500,2,CP-SAT,0.120409792,981100.0
4,500,3,CP-SAT,0.144452167,980275.0
4,500,4,CP-SAT,0.102378667,980100.0
4,500,5,CP-SAT,0.140074875,976925.0
4,500,6,CP-SAT,0.139674625,982775.0
4,500,7,CP-SAT,0.142305334,982050.0
4,500,8,CP-SAT,0.134303291,979950.0
4,500,9,CP-SAT,0.131870958,978075.0
4,500,10,CP-SAT,0.178517583,981125.0
4,500,11,CP-SAT,0.16130825,982825.0
4,500,12,CP-SAT,0.131637292,981050.0
4,500,13,CP-SAT,0.1091205,978500.0
4,500,14,CP-SAT,0.092729875,977550.0
4,500,15,CP-SAT,0.1279065,981950.0
4,500,16,CP-SAT,0.09144475,981150.0
4,500,17,CP-SAT,0.109644459,983600.0
4,500,18,CP-SAT,0.086794083,974675.0
4,500,19,CP-SAT,0.106486167,982400.0
4,1000,0,CP-SAT,0.75255975,1686225.0
4,1000,1,CP-SAT,0.55943325,1682025.0
4,1000,2,CP-SAT,0.520632417,1702550.0
4,1000,3,CP-SAT,0.567399916,1693475.0
4,1000,4,CP-SAT,0.517365584,1691250.0
4,1000,5,CP-SAT,0.355333292,1676800.0
4,1000,6,CP-SAT,0.475647958,1682725.0
4,1000,7,CP-SAT,0.504024167,1700625.0
4,1000,8,CP-SAT,0.692065125,1700100.0
4,1000,9,CP-SAT,0.455474041,1692825.0
4,1000,10,CP-SAT,0.454887917,1690575.0
4,1000,11,CP-SAT,0.547370875,1687100.0
4,1000,12,CP-SAT,0.704997541,1684200.0
4,1000,13,CP-SAT,0.649493541,1707750.0
4,1000,14,CP-SAT,0.556523084,1687100.0
4,1000,15,CP-SAT,0.57746425,1686000.0
4,1000,16,CP-SAT,0.521369459,1689300.0
4,1000,17,CP-SAT,0.556884083,1694475.0
4,1000,18,CP-SAT,0.526557916,1687225.0
4,1000,19,CP-SAT,0.595142291,1688575.0
4,2500,0,CP-SAT,0.561369667,3557175.0
4,2500,1,CP-SAT,0.910379083,3597075.0
4,2500,2,CP-SAT,0.624722375,3550675.0
4,2500,3,CP-SAT,0.992979125,3563700.0
4,2500,4,CP-SAT,0.781916333,3566000.0
4,2500,5,CP-SAT,2.982543333,3547950.0
4,2500,6,CP-SAT,0.9896,3541975.0
4,2500,7,CP-SAT,0.74325425,3556425.0
4,2500,8,CP-SAT,0.829956125,3569950.0
4,2500,9,CP-SAT,0.817864125,3593700.0
4,2500,10,CP-SAT,0.639190708,3568825.0
4,2500,11,CP-SAT,3.356543291,3567550.0
4,2500,12,CP-SAT,0.794966,3556275.0
4,2500,13,CP-SAT,0.699154708,3554950.0
4,2500,14,CP-SAT,0.741921292,3581550.0
4,2500,15,CP-SAT,2.666162083,3557775.0
4,2500,16,CP-SAT,0.816896417,3593875.0
4,2500,17,CP-SAT,0.6194625,3538350.0
4,2500,18,CP-SAT,0.7342305,3570575.0
4,2500,19,CP-SAT,0.961727959,3550600.0
4,5000,0,CP-SAT,8.804276667,6135925.0
4,5000,1,CP-SAT,0.973461333,6125525.0
4,5000,2,CP-SAT,5.189314166,6126650.0
4,5000,3,CP-SAT,7.977757625,6186675.0
4,5000,4,CP-SAT,16.177670708,6064800.0
4,5000,5,CP-SAT,8.860791333,6105275.0
4,5000,6,CP-SAT,0.373456208,6172875.0
4,5000,7,CP-SAT,12.850866709,6072650.0
4,5000,8,CP-SAT,1.153742791,6196900.0
4,5000,9,CP-SAT,0.836039042,6259575.0
4,5000,10,CP-SAT,0.662493458,6162200.0
4,5000,11,CP-SAT,16.850182667,6066250.0
4,5000,12,CP-SAT,1.637225458,6153525.0
4,5000,13,CP-SAT,0.562840833,6198325.0
4,5000,14,CP-SAT,4.47661675,6196575.0
4,5000,15,CP-SAT,1.035391125,6092500.0
4,5000,16,CP-SAT,16.169884916,6132450.0
4,5000,17,CP-SAT,0.484898125,6203425.0
4,5000,18,CP-SAT,3.5894215,6110475.0
4,5000,19,CP-SAT,0.774575834,6172850.0
8,500,0,CP-SAT,0.07738,2495941.0
8,500,1,CP-SAT,0.087824459,2511867.0
8,500,2,CP-SAT,0.0976395,2514404.0
8,500,3,CP-SAT,0.076058417,2487585.0
8,500,4,CP-SAT,0.087271917,2508541.0
8,500,5,CP-SAT,0.0941795,2491085.0
8,500,6,CP-SAT,0.108935167,2514404.0
8,500,7,CP-SAT,0.072273583,2474678.0
8,500,8,CP-SAT,0.0753495,2494454.0
8,500,9,CP-SAT,0.075262958,2485703.0
8,500,10,CP-SAT,0.080319833,2491522.0
8,500,11,CP-SAT,0.100759375,2515454.0
8,500,12,CP-SAT,0.0609365,2487229.0
8,500,13,CP-SAT,0.064267334,2509810.0
8,500,14,CP-SAT,0.078331834,2437760.0
8,500,15,CP-SAT,0.088234375,2486667.0
8,500,16,CP-SAT,0.117087292,2517554.0
8,500,17,CP-SAT,0.153444916,2514053.0
8,500,18,CP-SAT,0.072327208,2475779.0
8,500,19,CP-SAT,0.137149792,2511211.0
8,1000,0,CP-SAT,0.133987417,2699083.0
8,1000,1,CP-SAT,0.198353167,2715565.0
8,1000,2,CP-SAT,0.147086041,2676822.0
8,1000,3,CP-SAT,0.220389167,2681580.0
8,1000,4,CP-SAT,0.151030125,2633709.0
8,1000,5,CP-SAT,0.121589334,2667233.0
8,1000,6,CP-SAT,0.127115875,2679687.0
8,1000,7,CP-SAT,0.178099625,2698566.0
8,1000,8,CP-SAT,0.098370792,2673574.0
8,1000,9,CP-SAT,0.154704708,2679277.0
8,1000,10,CP-SAT,0.1743705,2662900.0
8,1000,11,CP-SAT,0.093109875,2671662.0
8,1000,12,CP-SAT,0.095459708,2656471.0
8,1000,13,CP-SAT,0.099988375,2673977.0
8,1000,14,CP-SAT,0.11218075,2706818.0
8,1000,15,CP-SAT,0.147075167,2710585.0
8,1000,16,CP-SAT,0.146625833,2682160.0
8,1000,17,CP-SAT,0.170671708,2685124.0
8,1000,18,CP-SAT,0.123929458,2677875.0
8,1000,19,CP-SAT,0.11535525,2701499.0
8,2500,0,CP-SAT,0.22708,3658835.0
8,2500,1,CP-SAT,0.225504917,3665399.0
8,2500,2,CP-SAT,0.256832875,3711083.0
8,2500,3,CP-SAT,0.216637167,3678641.0
8,2500,4,CP-SAT,0.210128792,3665561.0
8,2500,5,CP-SAT,0.338566,3683704.0
8,2500,6,CP-SAT,0.258888458,3688597.0
8,2500,7,CP-SAT,0.222705125,3683226.0
8,2500,8,CP-SAT,0.332033625,3699747.0
8,2500,9,CP-SAT,0.292363167,3688900.0
8,2500,10,CP-SAT,0.262069959,3652152.0
8,2500,11,CP-SAT,0.310323958,3695993.0
8,2500,12,CP-SAT,0.272741708,3673355.0
8,2500,13,CP-SAT,0.280211709,3697364.0
8,2500,14,CP-SAT,0.210524459,3690362.0
8,2500,15,CP-SAT,0.195561708,3645468.0
8,2500,16,CP-SAT,0.301220333,3711503.0
8,2500,17,CP-SAT,0.346369292,3642436.0
