Instance,User,Simulation,Solver,Computation Time(s),Total Allocated Demand
4,500,0,CP-SAT,0.013131041,
4,500,1,CP-SAT,0.00491375,
4,500,2,CP-SAT,0.002903625,
4,500,3,CP-SAT,0.002605625,
4,500,4,CP-SAT,0.002416375,
4,500,5,CP-SAT,0.002230625,
4,500,6,CP-SAT,0.003657875,
4,500,7,CP-SAT,0.004382375,
4,500,8,CP-SAT,0.003757167,
4,500,9,CP-SAT,0.003745083,
4,500,10,CP-SAT,0.004758458,
4,500,11,CP-SAT,0.002541292,
4,500,12,CP-SAT,0.00280175,
4,500,13,CP-SAT,0.003618625,
4,500,14,CP-SAT,0.002990833,
4,500,15,CP-SAT,0.002058125,
4,500,16,CP-SAT,0.003234625,
4,500,17,CP-SAT,0.003790417,
4,500,18,CP-SAT,0.003335708,
4,500,19,CP-SAT,0.010972375,
4,1000,0,CP-SAT,0.015051417,
4,1000,1,CP-SAT,0.009677208,
4,1000,2,CP-SAT,0.008397542,
4,1000,3,CP-SAT,0.017060625,
4,1000,4,CP-SAT,0.010708833,
4,1000,5,CP-SAT,0.01278175,
4,1000,6,CP-SAT,0.006298583,
4,1000,7,CP-SAT,0.013779083,
4,1000,8,CP-SAT,0.009212459,
4,1000,9,CP-SAT,0.008604417,
4,1000,10,CP-SAT,0.008513291,
4,1000,11,CP-SAT,0.011416208,
4,1000,12,CP-SAT,0.008243292,
4,1000,13,CP-SAT,0.009189875,
4,1000,14,CP-SAT,0.013424917,
4,1000,15,CP-SAT,0.008522167,
4,1000,16,CP-SAT,0.012179291,
4,1000,17,CP-SAT,0.009369458,
4,1000,18,CP-SAT,0.00803375,
4,1000,19,CP-SAT,0.007592708,
4,2500,0,CP-SAT,0.008789833,
4,2500,1,CP-SAT,0.011854584,
4,2500,2,CP-SAT,0.012466833,
4,2500,3,CP-SAT,0.0082715,
4,2500,4,CP-SAT,0.014890667,
4,2500,5,CP-SAT,0.014856333,
4,2500,6,CP-SAT,0.013460042,
4,2500,7,CP-SAT,0.005255458,
4,2500,8,CP-SAT,0.009164958,
4,2500,9,CP-SAT,0.008344,
4,2500,10,CP-SAT,0.014282,
4,2500,11,CP-SAT,0.015078791,
4,2500,12,CP-SAT,0.017187125,
4,2500,13,CP-SAT,0.008241666,
4,2500,14,CP-SAT,0.008207375,
4,2500,15,CP-SAT,0.008762416,
4,2500,16,CP-SAT,0.009418875,
4,2500,17,CP-SAT,0.017939375,
4,2500,18,CP-SAT,0.008145209,
4,2500,19,CP-SAT,0.009997208,
4,5000,0,CP-SAT,0.005587833,
4,5000,1,CP-SAT,0.005749458,
4,5000,2,CP-SAT,0.013996416,
4,5000,3,CP-SAT,0.00913475,
4,5000,4,CP-SAT,0.006242709,
4,5000,5,CP-SAT,0.008841125,
4,5000,6,CP-SAT,0.008045166,
4,5000,7,CP-SAT,0.008792209,
4,5000,8,CP-SAT,0.004841667,
4,5000,9,CP-SAT,0.010987791,
4,5000,10,CP-SAT,0.0082555,
4,5000,11,CP-SAT,0.007886083,
4,5000,12,CP-SAT,0.00959175,
4,5000,13,CP-SAT,0.008537833,
4,5000,14,CP-SAT,0.008662208,
4,5000,15,CP-SAT,0.008792417,
4,5000,16,CP-SAT,0.011573333,
4,5000,17,CP-SAT,0.009152834,
4,5000,18,CP-SAT,0.008528959,
4,5000,19,CP-SAT,0.009895333,
8,500,0,CP-SAT,0.002356,
8,500,1,CP-SAT,0.002636084,
8,500,2,CP-SAT,0.00273275,
8,500,3,CP-SAT,0.002249667,
8,500,4,CP-SAT,0.001677,
8,500,5,CP-SAT,0.001589583,
8,500,6,CP-SAT,0.0017275,
8,500,7,CP-SAT,0.002464458,
8,500,8,CP-SAT,0.002844791,
8,500,9,CP-SAT,0.002670541,
8,500,10,CP-SAT,0.001694667,
8,500,11,CP-SAT,0.001844041,
8,500,12,CP-SAT,0.002513375,
8,500,13,CP-SAT,0.002460958,
8,500,14,CP-SAT,0.002200625,
8,500,15,CP-SAT,0.001532167,
8,500,16,CP-SAT,0.001880583,
8,500,17,CP-SAT,0.001694334,
8,500,18,CP-SAT,0.0026875,
8,500,19,CP-SAT,0.001831375,
8,1000,0,CP-SAT,0.004518959,
8,1000,1,CP-SAT,0.007302959,
8,1000,2,CP-SAT,0.003876042,
8,1000,3,CP-SAT,0.003188166,
8,1000,4,CP-SAT,0.0022435,
8,1000,5,CP-SAT,0.002363708,
8,1000,6,CP-SAT,0.004420125,
8,1000,7,CP-SAT,0.002855334,
8,1000,8,CP-SAT,0.002298375,
8,1000,9,CP-SAT,0.005317458,
8,1000,10,CP-SAT,0.004056542,
8,1000,11,CP-SAT,0.003057708,
8,1000,12,CP-SAT,0.002163792,
8,1000,13,CP-SAT,0.005171458,
8,1000,14,CP-SAT,0.003540916,
8,1000,15,CP-SAT,0.007206,
8,1000,16,CP-SAT,0.002277709,
8,1000,17,CP-SAT,0.004814333,
8,1000,18,CP-SAT,0.004020042,
8,1000,19,CP-SAT,0.002432166,
8,2500,0,CP-SAT,0.005607125,
8,2500,1,CP-SAT,0.006586292,
8,2500,2,CP-SAT,0.007975,
8,2500,3,CP-SAT,0.005586375,
8,2500,4,CP-SAT,0.006014708,
8,2500,5,CP-SAT,0.012266959,
8,2500,6,CP-SAT,0.004416375,
8,2500,7,CP-SAT,0.007393458,
8,2500,8,CP-SAT,0.01728625,
8,2500,9,CP-SAT,0.007132417,
8,2500,10,CP-SAT,0.00651825,
8,2500,11,CP-SAT,0.009872875,
8,2500,12,CP-SAT,0.006758709,
8,2500,13,CP-SAT,0.011981958,
8,2500,14,CP-SAT,0.011292125,
8,2500,15,CP-SAT,0.005788667,
8,2500,16,CP-SAT,0.007115,
8,2500,17,CP-SAT,0.0073505,
8,2500,18,CP-SAT,0.012533417,
8,2500,19,CP-SAT,0.006461833,
8,5000,0,CP-SAT,0.004676084,
8,5000,1,CP-SAT,0.005914083,
8,5000,2,CP-SAT,0.00750775,
8,5000,3,CP-SAT,0.00725275,
8,5000,4,CP-SAT,0.007358166,
8,5000,5,CP-SAT,0.013781625,
8,5000,6,CP-SAT,0.007573042,
8,5000,7,CP-SAT,0.007151125,
8,5000,8,CP-SAT,0.007294417,
8,5000,9,CP-SAT,0.008929334,
8,5000,10,CP-SAT,0.007135958,
8,5000,11,CP-SAT,0.007388083,
8,5000,12,CP-SAT,0.007311125,
8,5000,13,CP-SAT,0.007961541,
8,5000,14,CP-SAT,0.0075145,
8,5000,15,CP-SAT,0.004537334,
8,5000,16,CP-SAT,0.01360925,
8,5000,17,CP-SAT,0.007086209,
8,5000,18,CP-SAT,0.005421125,
8,5000,19,CP-SAT,0.009162958,
12,500,0,CP-SAT,0.016742542,
12,500,1,CP-SAT,0.022069291,
12,500,2,CP-SAT,0.014913209,
12,500,3,CP-SAT,0.015837292,
12,500,4,CP-SAT,0.030137917,
12,500,5,CP-SAT,0.026408417,
12,500,6,CP-SAT,0.03399475,
12,500,7,CP-SAT,0.019453,
12,500,8,CP-SAT,0.021630459,
12,500,9,CP-SAT,0.0133195,
12,500,10,CP-SAT,0.021081667,
12,500,11,CP-SAT,0.019935667,
12,500,12,CP-SAT,0.020457375,
12,500,13,CP-SAT,0.016464417,
12,500,14,CP-SAT,0.0294495,
12,500,15,CP-SAT,0.022854375,
12,500,16,CP-SAT,0.009011875,
12,500,17,CP-SAT,0.032536292,
12,500,18,CP-SAT,0.027212084,
12,500,19,CP-SAT,0.017905458,
12,1000,0,CP-SAT,0.037454125,
12,1000,1,CP-SAT,0.0355635,
12,1000,2,CP-SAT,0.045932291,
12,1000,3,CP-SAT,0.035449292,
12,1000,4,CP-SAT,0.033892834,
12,1000,5,CP-SAT,0.038481042,
12,1000,6,CP-SAT,0.04117475,
12,1000,7,CP-SAT,0.022873083,
12,1000,8,CP-SAT,0.055763667,
12,1000,9,CP-SAT,0.048238708,
12,1000,10,CP-SAT,0.045221541,
12,1000,11,CP-SAT,0.070122958,
12,1000,12,CP-SAT,0.039074292,
12,1000,13,CP-SAT,0.0209425,
12,1000,14,CP-SAT,0.044128083,
12,1000,15,CP-SAT,0.020578708,
12,1000,16,CP-SAT,0.039991584,
12,1000,17,CP-SAT,0.037511541,
12,1000,18,CP-SAT,0.036648958,
12,1000,19,CP-SAT,0.043915292,
12,2500,0,CP-SAT,0.033331417,
12,2500,1,CP-SAT,0.016423208,
12,2500,2,CP-SAT,0.054603334,
12,2500,3,CP-SAT,0.039068833,
12,2500,4,CP-SAT,0.017259541,
12,2500,5,CP-SAT,0.043169625,
12,2500,6,CP-SAT,0.049933459,
12,2500,7,CP-SAT,0.051626625,
12,2500,8,CP-SAT,0.045535042,
12,2500,9,CP-SAT,0.035042375,
12,2500,10,CP-SAT,0.049490041,
12,2500,11,CP-SAT,0.034930625,
12,2500,12,CP-SAT,0.033297334,
12,2500,13,CP-SAT,0.038725959,
12,2500,14,CP-SAT,0.036262542,
12,2500,15,CP-SAT,0.041011917,
12,2500,16,CP-SAT,0.030600375,
12,2500,17,CP-SAT,0.026257958,
12,2500,18,CP-SAT,0.037007917,
12,2500,19,CP-SAT,0.039024334,
12,5000,0,CP-SAT,0.081414542,
12,5000,1,CP-SAT,0.064385375,
12,5000,2,CP-SAT,0.051288667,
12,5000,3,CP-SAT,0.054001041,
12,5000,4,CP-SAT,0.054357375,
12,5000,5,CP-SAT,0.068234958,
12,5000,6,CP-SAT,0.046983042,
12,5000,7,CP-SAT,0.046412166,
12,5000,8,CP-SAT,0.054816,
12,5000,9,CP-SAT,0.050078417,
12,5000,10,CP-SAT,0.064475791,
12,5000,11,CP-SAT,0.067545542,
12,5000,12,CP-SAT,0.074653083,
12,5000,13,CP-SAT,0.052734875,
12,5000,14,CP-SAT,0.057850166,
12,5000,15,CP-SAT,0.035246916,
12,5000,16,CP-SAT,0.0665855,
12,5000,17,CP-SAT,0.067006958,
12,5000,18,CP-SAT,0.051067709,
12,5000,19,CP-SAT,0.069869541,
