Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s)
4,500,0,6.0,978500.0,0.029797874
4,500,1,6.0,973500.0,0.016884083
4,500,2,6.0,973625.0,0.013108458
4,500,3,6.0,978275.0,0.013023166
4,500,4,6.0,974900.0,0.011487041
4,500,5,6.0,967075.0,0.012074542
4,500,6,6.0,980125.0,0.01331475
4,500,7,6.0,981025.0,0.013154667
4,500,8,6.0,973975.0,0.012294166
4,500,9,5.0,971750.0,0.013298167
4,500,10,6.0,970125.0,0.01664175
4,500,11,6.0,965700.0,0.014036167
4,500,12,5.0,971700.0,0.013228834
4,500,13,6.0,965200.0,0.01111625
4,500,14,5.0,971900.0,0.009462333
4,500,15,6.0,976200.0,0.00984475
4,500,16,4.0,971475.0,0.01050425
4,500,17,6.0,977800.0,0.012437417
4,500,18,1.0,967050.0,0.010503541
4,500,19,6.0,973950.0,0.012207125
4,1000,0,6.0,1660950.0,0.033148833
4,1000,1,4.0,1655300.0,0.029998416
4,1000,2,6.0,1689625.0,0.0314235
4,1000,3,5.0,1650200.0,0.035244791
4,1000,4,3.0,1686700.0,0.038007583
4,1000,5,1.0,1665475.0,0.025856833
4,1000,6,6.0,1650850.0,0.03192625
4,1000,7,5.0,1680850.0,0.030476542
4,1000,8,5.0,1683950.0,0.034802042
4,1000,9,5.0,1665350.0,0.032067791
4,1000,10,6.0,1671750.0,0.047885292
4,1000,11,5.0,1654600.0,0.036679834
4,1000,12,6.0,1654300.0,0.030536792
4,1000,13,6.0,1690025.0,0.033748458
4,1000,14,5.0,1638650.0,0.032650791
4,1000,15,6.0,1667900.0,0.032527042
4,1000,16,5.0,1673825.0,0.029910833
4,1000,17,6.0,1682300.0,0.031860833
4,1000,18,4.0,1656275.0,0.033134709
4,1000,19,5.0,1663925.0,0.028905958
4,2500,0,3.0,3426750.0,0.044837251
4,2500,1,6.0,3518675.0,0.038578458
4,2500,2,6.0,3465325.0,0.034404792
4,2500,3,6.0,3453350.0,0.037784084
4,2500,4,6.0,3469950.0,0.038265459
4,2500,5,6.0,3426425.0,0.038039791
4,2500,6,6.0,3458250.0,0.039135042
4,2500,7,6.0,3430175.0,0.049521166
4,2500,8,4.0,3478375.0,0.03666325
4,2500,9,6.0,3527550.0,0.033681708
4,2500,10,6.0,3463500.0,0.048498167
4,2500,11,5.0,3452800.0,0.035042958
4,2500,12,6.0,3496450.0,0.032617418
4,2500,13,4.0,3469000.0,0.032985417
4,2500,14,4.0,3509550.0,0.032111542
4,2500,15,6.0,3426450.0,0.051927708
4,2500,16,5.0,3523975.0,0.035406208
4,2500,17,6.0,3380300.0,0.042889667
4,2500,18,4.0,3492700.0,0.032635917
4,2500,19,4.0,3546125.0,0.038398166
4,5000,0,5.0,5938450.0,0.044536416
4,5000,1,6.0,5932450.0,0.041056375
4,5000,2,5.0,5823825.0,0.051210208
4,5000,3,6.0,5875500.0,0.047711583
4,5000,4,6.0,5797525.0,0.046951958
4,5000,5,2.0,5926150.0,0.053387667
4,5000,6,6.0,5923550.0,0.032097751
4,5000,7,6.0,5724975.0,0.039820666
4,5000,8,5.0,5855850.0,0.032533833
4,5000,9,5.0,5946925.0,0.045088167
4,5000,10,6.0,5972025.0,0.036186751
4,5000,11,6.0,5917000.0,0.060257167
4,5000,12,6.0,5862900.0,0.044852958
4,5000,13,5.0,5885400.0,0.034106917
4,5000,14,5.0,5962700.0,0.036545583
4,5000,15,6.0,5848400.0,0.039379417
4,5000,16,6.0,5896350.0,0.042528125
4,5000,17,5.0,6017975.0,0.031350375
4,5000,18,5.0,5851875.0,0.047629791
4,5000,19,6.0,5879850.0,0.036493084
8,500,0,,2495956.25,0.008367209
8,500,1,,2511881.25,0.007936625
8,500,2,5.0,2508468.75,0.00875225
8,500,3,,2487600.0,0.007095083
8,500,4,,2508556.25,0.007931666
8,500,5,,2491100.0,0.007778625
8,500,6,1.0,2478937.5,0.008593083
8,500,7,4.0,2463668.75,0.007226041
8,500,8,,2494468.75,0.007993583
8,500,9,,2485718.75,0.007856542
8,500,10,,2491537.5,0.007846083
8,500,11,,2515468.75,0.008572791
8,500,12,,2487243.75,0.007633167
8,500,13,,2509825.0,0.007528833
8,500,14,,2437775.0,0.006701834
8,500,15,6.0,2484056.25,0.008008458
8,500,16,0.0,2516737.5,0.008288875
8,500,17,,2514068.75,0.008086916
8,500,18,,2475793.75,0.008330375
8,500,19,,2511225.0,0.009092792
8,1000,0,6.0,2691300.33,0.01514975
8,1000,1,4.0,2715595.18,0.0153635
8,1000,2,6.0,2676848.81,0.0110835
8,1000,3,4.0,2659285.74,0.017199958
8,1000,4,6.0,2625021.39,0.011646292
8,1000,5,5.0,2660677.33,0.011277708
8,1000,6,6.0,2667656.15,0.016623375
8,1000,7,5.0,2698595.17,0.01567325
8,1000,8,6.0,2670905.62,0.012105958
8,1000,9,4.0,2677759.06,0.013854876
8,1000,10,5.0,2658614.86,0.014316958
8,1000,11,,2671690.6,0.010139666
8,1000,12,6.0,2650261.96,0.010926917
8,1000,13,,2674006.27,0.011593041
8,1000,14,6.0,2703549.23,0.011798125
8,1000,15,6.0,2684559.89,0.015630208
8,1000,16,6.0,2678886.6,0.010725167
8,1000,17,6.0,2685153.37,0.012359166
8,1000,18,,2677903.94,0.010877208
8,1000,19,6.0,2675904.23,0.013831833
8,2500,0,6.0,3644616.58,0.017801375
8,2500,1,6.0,3656061.39,0.022741292
8,2500,2,4.0,3703006.62,0.027878708
8,2500,3,6.0,3655768.73,0.020983876
8,2500,4,5.0,3654942.87,0.022229417
8,2500,5,,3683732.05,0.022094833
8,2500,6,1.0,3678316.17,0.023795666
8,2500,7,6.0,3675802.82,0.023672376
8,2500,8,6.0,3668268.07,0.027731083
8,2500,9,6.0,3670520.74,0.024698542
8,2500,10,5.0,3641943.4,0.020245167
8,2500,11,,3696023.35,0.022495334
8,2500,12,6.0,3649728.54,0.024683041
8,2500,13,6.0,3656784.2,0.024137
8,2500,14,5.0,3689295.18,0.032440584
8,2500,15,5.0,3622426.72,0.019066417
8,2500,16,,3711533.13,0.0288
8,2500,17,6.0,3638661.5,0.02533325
8,2500,18,1.0,3662132.85,0.036294501
8,2500,19,6.0,3677525.47,0.024843042
8,5000,0,5.0,5759236.03,0.026796167
8,5000,1,5.0,5707126.31,0.028229
8,5000,2,,5800190.84,0.025316875
8,5000,3,6.0,5726714.5,0.027859125
8,5000,4,6.0,5715666.89,0.027104209
8,5000,5,5.0,5739415.67,0.027859333
8,5000,6,6.0,5846453.7,0.02809175
8,5000,7,6.0,5791051.66,0.026974374
8,5000,8,4.0,5759729.58,0.02502975
8,5000,9,6.0,5729967.47,0.026874042
8,5000,10,6.0,5788387.11,0.025993291
8,5000,11,6.0,5776649.37,0.02528125
8,5000,12,5.0,5835160.72,0.027251291
8,5000,13,5.0,5791692.35,0.026239667
8,5000,14,6.0,5797509.91,0.028915124
8,5000,15,6.0,5714307.91,0.025932876
8,5000,16,5.0,5722894.13,0.028333542
8,5000,17,6.0,5818784.57,0.026586041
