Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s)
4,500,0,1,948450.0,0.0033607089999110177
4,500,1,6,965875.0,0.005812790999992715
4,500,2,5,971325.0,0.005043333000036409
4,500,3,6,963325.0,0.0052877499999662335
4,500,4,6,953100.0,0.0062973760000042435
4,500,5,6,960450.0,0.006426083000025712
4,500,6,5,965650.0,0.00723054099993503
4,500,7,6,963975.0,0.007249707999942569
4,500,8,5,967275.0,0.00449920799999164
4,500,9,5,968700.0,0.005887166999949935
4,500,10,6,968200.0,0.006993000000028369
4,500,11,5,961700.0,0.006132250000040831
4,500,12,6,973850.0,0.007729958999932408
4,500,13,1,959750.0,0.0042025830000728525
4,500,14,1,947075.0,0.002600917000004418
4,500,15,6,961700.0,0.0038028749999362127
4,500,16,1,965950.0,0.0023937910000152796
4,500,17,1,967950.0,0.004089333000005229
4,500,18,1,959575.0,0.002555542000036336
4,500,19,6,974325.0,0.004850833999977736
4,1000,0,6,1636975.0,0.00953204100009964
4,1000,1,1,1624275.0,0.006292625000014175
4,1000,2,6,1663225.0,0.012056333000011408
4,1000,3,6,1613800.0,0.014280707999967272
4,1000,4,6,1663700.0,0.010141457999962543
4,1000,5,5,1640075.0,0.008690792000028603
4,1000,6,6,1642025.0,0.013148625000072427
4,1000,7,6,1642300.0,0.010303000000079112
4,1000,8,6,1670825.0,0.018370000000037075
4,1000,9,6,1627250.0,0.014100875000011096
4,1000,10,6,1650600.0,0.01190412499996551
4,1000,11,1,1622325.0,0.005582084000026464
4,1000,12,6,1624175.0,0.01056783399995543
4,1000,13,6,1681075.0,0.01258266700005379
4,1000,14,6,1620075.0,0.01308079200001131
4,1000,15,6,1628725.0,0.00945804199997497
4,1000,16,6,1624925.0,0.00989983399996024
4,1000,17,4,1626050.0,0.008843375000087894
4,1000,18,6,1651125.0,0.01137170799996595
4,1000,19,5,1630400.0,0.009391000000049565
4,2500,0,4,3411675.0,0.008664249999955697
4,2500,1,6,3509350.0,0.011578165999960156
4,2500,2,5,3425300.0,0.02121387500005009
4,2500,3,6,3413125.0,0.011381999999984946
4,2500,4,5,3423675.0,0.01364162500007633
4,2500,5,5,3426425.0,0.014216333000028688
4,2500,6,6,3448775.0,0.014366290999948513
4,2500,7,6,3409375.0,0.012023374999959284
4,2500,8,6,3446950.0,0.012431208000072832
4,2500,9,5,3495750.0,0.012928333999967363
4,2500,10,6,3481000.0,0.011919333999996081
4,2500,11,5,3422125.0,0.009532832999993052
4,2500,12,5,3429125.0,0.012179584000006143
4,2500,13,5,3450375.0,0.01171541700001768
4,2500,14,5,3396275.0,0.011211292000079847
4,2500,15,4,3400275.0,0.011135417000040383
4,2500,16,5,3475675.0,0.010964875000034124
4,2500,17,5,3380300.0,0.01104791700006215
4,2500,18,6,3475425.0,0.012230166999940572
4,2500,19,5,3389975.0,0.011709167000115891
4,5000,0,6,5882750.0,0.012707667000048547
4,5000,1,1,5767125.0,0.0043991250000006855
4,5000,2,5,5811500.0,0.0215627079999392
4,5000,3,5,5875500.0,0.017983375999930093
4,5000,4,6,5776825.0,0.02104433299994016
4,5000,5,6,5926150.0,0.012585124999971681
4,5000,6,5,5801075.0,0.011334374999880078
4,5000,7,5,5696850.0,0.012239082999995649
4,5000,8,4,5917675.0,0.0211866669999475
4,5000,9,1,5826625.0,0.005377042000021537
4,5000,10,4,5931925.0,0.011374082999939068
4,5000,11,3,5898275.0,0.01083116600017816
4,5000,12,5,5831475.0,0.013162917000187358
4,5000,13,6,5862175.0,0.017337291000039477
4,5000,14,3,5891675.0,0.008608666000040103
4,5000,15,6,5846125.0,0.013818291999829582
4,5000,16,6,5896350.0,0.012009623999847523
4,5000,17,5,5899675.0,0.011997791000084197
4,5000,18,6,5851875.0,0.013677625000099754
4,5000,19,6,5879850.0,0.011221207999994978
8,500,0,6,2477925.0,0.0035797920001000723
8,500,1,6,2497925.0,0.005926249999981214
8,500,2,6,2491012.5,0.004913083000031564
8,500,3,1,2464331.25,0.002519624999908745
8,500,4,6,2496131.25,0.004908167000090162
8,500,5,6,2467431.25,0.004345874999871827
8,500,6,6,2464937.5,0.005781167000002882
8,500,7,5,2438650.0,0.00554333400019395
8,500,8,6,2455962.5,0.005347500000066372
8,500,9,6,2465550.0,0.004563625000026019
8,500,10,5,2476137.5,0.0038743339999844743
8,500,11,6,2502650.0,0.004119250000098402
8,500,12,1,2459512.5,0.0022255839999544406
8,500,13,6,2496218.75,0.00487408299990774
8,500,14,6,2428675.0,0.003597333000014798
8,500,15,6,2438381.25,0.005589709000064785
8,500,16,6,2501862.5,0.004176750000021129
8,500,17,1,2491587.5,0.0025617509999037997
8,500,18,4,2450550.0,0.0036298340001356556
8,500,19,6,2482875.0,0.003973873999978402
8,1000,0,4,2664304.13,0.007799373999878023
8,1000,1,6,2691621.77,0.00765374999988481
8,1000,2,6,2660794.33,0.00891912600006726
8,1000,3,1,2665137.18,0.0033245000001193986
8,1000,4,5,2618125.46,0.006931624999964828
8,1000,5,5,2648738.41,0.005262208000011597
8,1000,6,6,2651147.75,0.007317668000130082
8,1000,7,6,2668708.86,0.008986291999966547
8,1000,8,6,2652707.79,0.004939416999987312
8,1000,9,6,2638878.12,0.007666416999990497
8,1000,10,6,2657284.3,0.006870375999929163
8,1000,11,6,2644706.58,0.004623875000175729
8,1000,12,3,2624090.81,0.004566875000096756
8,1000,13,4,2659963.34,0.005856916000015438
8,1000,14,6,2682855.18,0.005767958000163241
8,1000,15,6,2665486.9,0.0077077919999968564
8,1000,16,6,2670063.73,0.005838916000011742
8,1000,17,1,2657319.32,0.003122916999794323
8,1000,18,4,2642117.58,0.005038874999985927
8,1000,19,6,2672974.87,0.005547542000081814
8,2500,0,6,3598792.41,0.00919120899985227
8,2500,1,6,3590290.07,0.010804375000083353
8,2500,2,5,3673673.19,0.012205833000111277
8,2500,3,6,3613263.07,0.009611000999963114
8,2500,4,3,3626574.6,0.00615012500017532
8,2500,5,6,3639787.26,0.012086625000090223
8,2500,6,6,3646321.81,0.011962458999917899
8,2500,7,6,3653952.53,0.01866829100016269
8,2500,8,6,3608755.05,0.013014875000058164
8,2500,9,6,3636686.17,0.012574165999819729
8,2500,10,6,3598615.41,0.010611792000090527
8,2500,11,5,3654527.91,0.011246207999964071
8,2500,12,6,3614941.72,0.01166466599993594
8,2500,13,6,3617968.17,0.018397958999903086
8,2500,14,6,3650144.67,0.02360666599990208
8,2500,15,6,3606739.37,0.007491916000146785
8,2500,16,5,3677924.66,0.020349374999906068
8,2500,17,5,3587118.84,0.011966582999849299
8,2500,18,6,3620745.7,0.013439458999954454
8,2500,19,6,3653498.04,0.011712043000184797
8,5000,0,6,5767449.9,0.010728250999954527
8,5000,1,6,5693479.46,0.010825500999823589
8,5000,2,6,5752495.78,0.012787333000073673
8,5000,3,5,5683882.69,0.012178917000019253
8,5000,4,6,5683829.14,0.01407983300004655
8,5000,5,6,5728374.15,0.012538332999879364
8,5000,6,6,5840954.22,0.011827625000077155
8,5000,7,5,5757361.48000001,0.012878001000075292
8,5000,8,4,5714779.78,0.012196082999981619
8,5000,9,6,5692639.69,0.013231166000003897
8,5000,10,6,5730668.66,0.013384207999916676
8,5000,11,6,5744523.69,0.01268050000012535
8,5000,12,5,5826338.57,0.010579624000003578
8,5000,13,6,5787234.26,0.011647707999882408
8,5000,14,6,5764193.29,0.013536458999885594
8,5000,15,4,5688610.14000001,0.015640832999982493
8,5000,16,6,5712866.91,0.014208290999987818
8,5000,17,5,5766125.81,0.01489320899993053
8,5000,18,6,5812709.52,0.01029641599992628
8,5000,19,6,5668004.38,0.014868292000002606
12,500,0,6,2898306.25,0.011230124999928927
12,500,1,6,2886450.0,0.012082708000196495
12,500,2,6,2935100.0,0.009726790999966864
12,500,3,6,2885093.75,0.005415500000114567
12,500,4,6,2897256.25,0.015844833000059025
12,500,5,5,2837931.25,0.015075541000068013
12,500,6,6,2873631.25,0.01612999899990627
12,500,7,6,2916425.0,0.010645915999992095
12,500,8,6,2918912.5,0.01612304099986957
12,500,9,6,2912700.0,0.013735791999971115
12,500,10,6,2847950.0,0.010160833000076672
12,500,11,5,2904212.5,0.012721665999943873
12,500,12,6,2879231.25,0.013408790999913633
12,500,13,6,2892750.0,0.019392417000027386
12,500,14,5,2902331.25,0.020996917000082844
12,500,15,5,2836400.0,0.011770457999951179
12,500,16,2,2817456.25,0.006631374000116209
12,500,17,6,2898393.75,0.023760041000030922
12,500,18,6,2869431.25,0.01434779199997794
12,500,19,5,2902550.0,0.018186958000062675
12,1000,0,6,3386561.8,0.02348825100012164
12,1000,1,6,3351078.01,0.02488820900000246
12,1000,2,6,3322396.98,0.025175667000079324
12,1000,3,3,3361693.72,0.01727487499990496
12,1000,4,6,3442144.02,0.02058216700002947
12,1000,5,6,3359691.44,0.021842667000097484
12,1000,6,5,3321884.58,0.029765874999980745
12,1000,7,6,3437576.38,0.030067124000160827
12,1000,8,5,3418773.05,0.029090624999969457
12,1000,9,3,3399856.18,0.019836250000005908
12,1000,10,6,3428036.22,0.031085374999893948
12,1000,11,6,3288054.09,0.025710540999915175
12,1000,12,6,3284348.41,0.023741791000052078
12,1000,13,6,3412286.99,0.0227627920000749
12,1000,14,5,3447487.61,0.026056042000110056
12,1000,15,6,3299796.89,0.025418458000046974
12,1000,16,6,3428151.93,0.022104666999914785
12,1000,17,6,3453232.37,0.022419166999849287
12,1000,18,5,3377078.74,0.02159233299986413
12,1000,19,3,3366754.88,0.021179040999990177
12,2500,0,3,5021029.58,0.018366082999984632
12,2500,1,6,4886020.34,0.022281041999954877
12,2500,2,3,4982100.43,0.02229783399982465
12,2500,3,5,4866506.33,0.031679083000038445
12,2500,4,5,4847706.43,0.025302375000083966
12,2500,5,6,4885873.64,0.03206854200017556
12,2500,6,5,4799786.27,0.036882250000038794
12,2500,7,6,4928738.33,0.02669749899984633
12,2500,8,4,4654658.12,0.01714945800004694
12,2500,9,3,4910411.98,0.015794875000008455
12,2500,10,5,4796605.89,0.019952126000023707
12,2500,11,3,4994257.94,0.017727583999913955
12,2500,12,6,4915012.01,0.027116375000038766
12,2500,13,6,5033409.01,0.02677287599996809
