Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s)
4,500,0,5,962750.0,0.001829333
4,500,1,6,965875.0,0.003732334
4,500,2,6,971325.0,0.002560542
4,500,3,5,963325.0,0.002122584
4,500,4,1,953100.0,0.002714584
4,500,5,4,960450.0,0.002285208
4,500,6,1,965650.0,0.002182458
4,500,7,6,965225.0,0.003031999
4,500,8,1,967275.0,0.001307375
4,500,9,6,968700.0,0.002337666
4,500,10,5,968200.0,0.003175667
4,500,11,6,961700.0,0.002463958
4,500,12,1,973850.0,0.001084792
4,500,13,6,962225.0,0.001555083
4,500,14,1,955825.0,0.000695584
4,500,15,6,961700.0,0.001960126
4,500,16,6,969650.0,0.002625291
4,500,17,5,970525.0,0.002182209
4,500,18,1,966550.0,0.001318
4,500,19,3,974325.0,0.006683917
4,1000,0,6,1636975.0,0.009588167
4,1000,1,6,1631275.0,0.007353542
4,1000,2,6,1663225.0,0.008465959
4,1000,3,6,1623075.0,0.014389458
4,1000,4,5,1665125.0,0.008701042
4,1000,5,5,1640075.0,0.007813166
4,1000,6,6,1642025.0,0.006286874
4,1000,7,6,1642300.0,0.011690792
4,1000,8,3,1670825.0,0.010688249
4,1000,9,6,1627250.0,0.008112791
4,1000,10,6,1653275.0,0.011370542
4,1000,11,4,1651175.0,0.009207458
4,1000,12,6,1632425.0,0.010330833
4,1000,13,5,1685275.0,0.011309582
4,1000,14,6,1635325.0,0.012393375
4,1000,15,6,1628725.0,0.010968333
4,1000,16,4,1624925.0,0.009085583
4,1000,17,6,1627600.0,0.009639709
4,1000,18,6,1651125.0,0.007063292
4,1000,19,1,1630400.0,0.009278458
4,2500,0,6,3411675.0,0.010263417
4,2500,1,6,3509350.0,0.009595041
4,2500,2,6,3425300.0,0.009364792
4,2500,3,5,3413125.0,0.009268792
4,2500,4,3,3423675.0,0.012557041
4,2500,5,4,3426425.0,0.01219825
4,2500,6,5,3448775.0,0.010175916
4,2500,7,6,3411675.0,0.005507709
4,2500,8,5,3463200.0,0.011886417
4,2500,9,6,3495750.0,0.009244833
4,2500,10,5,3481000.0,0.010851124
4,2500,11,5,3448175.0,0.013711208
4,2500,12,5,3429125.0,0.011666166
4,2500,13,3,3450375.0,0.008813708
4,2500,14,5,3419325.0,0.008226876
4,2500,15,1,3400275.0,0.010223708
4,2500,16,6,3482525.0,0.010138167
4,2500,17,4,3380300.0,0.0138935
4,2500,18,6,3475425.0,0.010321166
4,2500,19,6,3392450.0,0.007422208
4,5000,0,6,5882750.0,0.006690833
4,5000,1,5,5883225.0,0.006340542
4,5000,2,1,5811500.0,0.011911916
4,5000,3,5,5875500.0,0.012908959
4,5000,4,6,5776825.0,0.007278042
4,5000,5,6,5926150.0,0.00786525
4,5000,6,6,5801075.0,0.006331792
4,5000,7,6,5696850.0,0.006256916
4,5000,8,5,5917675.0,0.005364667
4,5000,9,6,5893925.0,0.010282751
4,5000,10,6,5958850.0,0.006302834
4,5000,11,3,5914125.0,0.008424375
4,5000,12,5,5841350.0,0.00627825
4,5000,13,3,5862175.0,0.009627625
4,5000,14,5,5918675.0,0.007596958
4,5000,15,6,5846125.0,0.008014709
4,5000,16,6,5896350.0,0.008206708
4,5000,17,4,5956875.0,0.007045916
4,5000,18,6,5851875.0,0.009116291
4,5000,19,5,5879850.0,0.007893582
8,500,0,1,2477925.0,0.001184042
8,500,1,6,2497925.0,0.000736583
8,500,2,4,2491012.5,0.002104167
8,500,3,6,2466168.75,0.000822084
8,500,4,4,2496131.25,0.000877708
8,500,5,4,2467431.25,0.0009785
8,500,6,5,2464937.5,0.001615584
8,500,7,1,2438650.0,0.001190375
8,500,8,5,2455962.5,0.001434792
8,500,9,5,2465550.0,0.001468542
8,500,10,6,2476137.5,0.001356625
8,500,11,6,2502650.0,0.001384125
8,500,12,4,2462656.25,0.000832917
8,500,13,6,2496218.75,0.000881792
8,500,14,1,2428675.0,0.000949416
8,500,15,5,2438381.25,0.000925583
8,500,16,1,2501862.5,0.001585167
8,500,17,6,2497493.75,0.001436124
8,500,18,6,2450550.0,0.001081083
8,500,19,6,2482875.0,0.001638625
8,1000,0,6,2667385.16,0.005076999
8,1000,1,1,2687997.59,0.005453917
8,1000,2,6,2660794.33,0.001964666
8,1000,3,6,2668760.38,0.003873333
8,1000,4,6,2618125.46,0.001916708
8,1000,5,6,2650265.39,0.001815334
8,1000,6,1,2651147.75,0.003330459
8,1000,7,5,2668708.86,0.002819917
8,1000,8,5,2652707.79,0.001817292
8,1000,9,5,2638878.12,0.004134126
8,1000,10,6,2657284.3,0.002731875
8,1000,11,6,2644706.58,0.002731166
8,1000,12,6,2624090.81,0.002221459
8,1000,13,6,2662444.14,0.002087208
8,1000,14,4,2682855.18,0.003616917
8,1000,15,6,2665486.9,0.005928291
8,1000,16,3,2670063.73,0.002485792
8,1000,17,4,2668575.13,0.003675833
8,1000,18,6,2642117.58,0.001727875
8,1000,19,4,2672974.87,0.00238825
8,2500,0,3,3598792.41,0.004258792
8,2500,1,5,3590290.07,0.007013166
8,2500,2,0,3673673.19,0.005677166
8,2500,3,6,3613263.07,0.004375
8,2500,4,6,3626574.6,0.004166459
8,2500,5,5,3639787.26,0.008242209
8,2500,6,6,3646321.81,0.005327874
8,2500,7,5,3653952.53,0.007376626
8,2500,8,5,3608755.05,0.012999
8,2500,9,5,3636686.17,0.005228541
8,2500,10,4,3598615.41,0.005481083
8,2500,11,6,3654527.91,0.006256166
8,2500,12,6,3614941.72,0.007515999
8,2500,13,6,3617968.17,0.009032292
8,2500,14,6,3650144.67,0.008752625
8,2500,15,6,3606739.37,0.0031215
8,2500,16,6,3677924.66,0.007325959
8,2500,17,6,3596201.69,0.006660083
8,2500,18,2,3620745.7,0.009684458
8,2500,19,3,3653498.04,0.007899458
8,5000,0,6,5767449.9,0.004987124
8,5000,1,6,5693479.46,0.004589583
8,5000,2,5,5752495.78,0.006542792
8,5000,3,6,5683882.69,0.008137292
8,5000,4,5,5683829.14000001,0.006974958
8,5000,5,5,5728374.15,0.006998457
8,5000,6,6,5840954.22,0.005667042
8,5000,7,6,5757361.48000001,0.006489125
8,5000,8,6,5714779.78,0.006595624
8,5000,9,6,5692639.69,0.006835666
8,5000,10,6,5730668.66,0.004574667
8,5000,11,4,5744523.69,0.005802166
8,5000,12,6,5826338.57,0.004705583
8,5000,13,6,5787234.26,0.006016167
8,5000,14,6,5764193.29,0.006587792
8,5000,15,6,5688610.14000001,0.004450167
8,5000,16,6,5712866.91,0.008943042
8,5000,17,2,5766125.81000001,0.007877334
8,5000,18,0,5812709.52,0.005399083
8,5000,19,4,5668004.38,0.005836584
12,500,0,6,2907931.25,0.012723792
12,500,1,5,2886450.0,0.020445834
12,500,2,5,2935100.0,0.012070042
12,500,3,2,2888593.75,0.011531625
12,500,4,6,2907756.25,0.025047999
12,500,5,6,2837931.25,0.020159958
12,500,6,6,2873631.25,0.029895249
12,500,7,3,2916425.0,0.015165458
12,500,8,6,2918912.5,0.027897792
12,500,9,5,2925825.0,0.013876958
12,500,10,5,2859325.0,0.017030625
12,500,11,6,2904212.5,0.018157333
12,500,12,6,2879231.25,0.018429584
12,500,13,6,2920006.25,0.019986332
12,500,14,4,2902331.25,0.028179125
12,500,15,6,2853025.0,0.017502
12,500,16,6,2897081.25,0.011546916
12,500,17,5,2898393.75,0.032128958
12,500,18,4,2869431.25,0.019418082
12,500,19,6,2902550.0,0.014287667
12,1000,0,5,3450724.2,0.032706791
