,Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s)
0,4,500,0,0,948175.0,0.015807041000002187
1,4,500,1,6,966350.0,0.08023354099998414
2,4,500,2,4,962375.0,0.06929570799999851
3,4,500,3,0,945425.0,0.01836270799998374
4,4,500,4,1,944550.0,0.027033000000017182
5,4,500,5,0,947075.0,0.015201165999997102
6,4,500,6,1,967200.0,0.04758549999999673
7,4,500,7,1,962350.0,0.051266041999980416
8,4,500,8,1,964775.0,0.03181587499999239
9,4,500,9,1,958825.0,0.06973883399999181
10,4,500,10,1,960575.0,0.0580741670000009
11,4,500,11,0,959200.0,0.05860304200000144
12,4,500,12,1,972975.0,0.05683779200001027
13,4,500,13,1,957250.0,0.02879320900001403
14,4,500,14,0,933200.0,0.010677457999960893
15,4,500,15,1,949650.0,0.026420542000010983
16,4,500,16,6,959300.0,0.04142100000001392
17,4,500,17,1,962800.0,0.04955466699998112
18,4,500,18,3,954825.0,0.021955458000007866
19,4,500,19,1,964225.0,0.034819459000004827
20,4,1000,0,6,1601275.0,0.15741070799998624
21,4,1000,1,6,1622600.0,0.14828237499999375
22,4,1000,2,4,1649025.0,0.16714829200002157
23,4,1000,3,1,1595600.0,0.18088454199998694
24,4,1000,4,5,1651525.0,0.15086841699998388
25,4,1000,5,0,1606575.0,0.10755879199999185
26,4,1000,6,1,1631725.0,0.13892379199998572
27,4,1000,7,1,1634900.0,0.17298458299998742
28,4,1000,8,2,1648525.0,0.19675766699999997
29,4,1000,9,0,1596625.0,0.13037262499999258
30,4,1000,10,6,1644850.0,0.18572325000002365
31,4,1000,11,5,1637525.0,0.21168158300000073
32,4,1000,12,5,1609450.0,0.146999749999992
33,4,1000,13,6,1669725.0,0.1540469170000165
34,4,1000,14,6,1598550.0,0.1516163760000211
35,4,1000,15,6,1597600.0,0.16907449999999358
36,4,1000,16,1,1604900.0,0.1618124159999752
37,4,1000,17,6,1610800.0,0.15598850000000652
38,4,1000,18,5,1634850.0,0.1522913740000149
39,4,1000,19,6,1593875.0,0.17538916700002005
40,4,2500,0,1,3382050.0,0.16612866599996323
41,4,2500,1,6,3444775.0,0.15204499899999746
42,4,2500,2,6,3359600.0,0.13262487500000475
43,4,2500,3,3,3363525.0,0.14262924999999882
44,4,2500,4,1,3298675.0,0.16884020799997757
45,4,2500,5,6,3357050.0,0.17378429199999346
46,4,2500,6,5,3367350.0,0.14761408300000767
47,4,2500,7,5,3371025.0,0.1371624579999775
48,4,2500,8,1,3404050.0,0.17146558400000345
49,4,2500,9,6,3458125.0,0.13902695800001652
50,4,2500,10,1,3397400.0,0.14447808299999565
51,4,2500,11,6,3396875.0,0.11855379100001073
52,4,2500,12,0,3396525.0,0.12111804199997778
