Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s)
4,500,0,1,962750,0.002339625
4,500,1,6,965875,0.004704542
4,500,2,2,971325,0.002744958
4,500,3,6,963325,0.002708334
4,500,4,1,953100,0.003567708
4,500,5,6,960450,0.00242375
4,500,6,6,965650,0.003598541
4,500,7,5,965225,0.003487
4,500,8,1,967275,0.001025166
4,500,9,6,968700,0.003196875
4,500,10,1,968200,0.00296925
4,500,11,1,961700,0.002691458
4,500,12,1,973850,0.001502917
4,500,13,5,962225,0.001343459
4,500,14,5,955825,0.001164083
4,500,15,6,961700,0.001865917
4,500,16,6,969650,0.001242666
4,500,17,5,970525,0.002275291
4,500,18,1,966550,0.000931416
4,500,19,6,974325,0.001747458
4,1000,0,6,1636975,0.014889125
4,1000,1,6,1631275,0.011245917
4,1000,2,5,1663225,0.006233584
4,1000,3,6,1623075,0.009526833
4,1000,4,6,1665125,0.009732541
4,1000,5,6,1640075,0.004384959
4,1000,6,1,1642025,0.015435375
4,1000,7,5,1642300,0.007946
4,1000,8,1,1670825,0.008627292
4,1000,9,1,1627250,0.00667025
4,1000,10,6,1653275,0.007967667
4,1000,11,6,1651175,0.008815
4,1000,12,6,1632425,0.009991208
4,1000,13,5,1685275,0.010822334
4,1000,14,6,1635325,0.009000042
4,1000,15,1,1628725,0.008102167
4,1000,16,3,1624925,0.007812958
4,1000,17,6,1627600,0.006398542
4,1000,18,6,1651125,0.007453667
4,1000,19,3,1630400,0.008033709
4,2500,0,6,3411675,0.013694042
4,2500,1,6,3509350,0.012562459
4,2500,2,1,3425300,0.007744458
4,2500,3,6,3413125,0.009056
4,2500,4,1,3423675,0.0082385
4,2500,5,1,3426425,0.00629275
4,2500,6,6,3448775,0.006468583
4,2500,7,3,3411675,0.010617708
4,2500,8,6,3463200,0.009928625
4,2500,9,6,3495750,0.00768825
4,2500,10,6,3481000,0.008546042
4,2500,11,6,3448175,0.006375542
4,2500,12,6,3429125,0.00918775
4,2500,13,6,3450375,0.007600625
4,2500,14,2,3419325,0.020755042
4,2500,15,1,3400275,0.005826833
4,2500,16,6,3482525,0.010051875
4,2500,17,5,3380300,0.007813375
4,2500,18,1,3475425,0.007768125
4,2500,19,3,3392450,0.012091917
4,5000,0,6,5882750,0.0089065
4,5000,1,6,5883225,0.010588292
4,5000,2,5,5811500,0.007682583
4,5000,3,6,5875500,0.009327084
4,5000,4,1,5776825,0.012141541
4,5000,5,5,5926150,0.007787375
4,5000,6,6,5801075,0.006409
4,5000,7,4,5696850,0.009641792
4,5000,8,5,5917675,0.008779042
4,5000,9,5,5893925,0.012064708
4,5000,10,4,5958850,0.0073235
4,5000,11,6,5914125,0.008368833
4,5000,12,6,5841350,0.006791125
4,5000,13,6,5862175,0.007339833
4,5000,14,1,5918675,0.005797625
4,5000,15,1,5846125,0.007221959
4,5000,16,3,5896350,0.007630541
4,5000,17,5,5956875,0.006036875
4,5000,18,6,5851875,0.007072625
4,5000,19,6,5879850,0.011994833
8,500,0,6,2477925,0.000519375
8,500,1,5,2497925,0.001043459
8,500,2,4,2491012.5,0.001206542
8,500,3,5,2466168.75,0.000901834
8,500,4,6,2496131.25,0.001199667
8,500,5,3,2467431.25,0.0014395
8,500,6,3,2464937.5,0.001627625
8,500,7,1,2438650,0.001041917
8,500,8,1,2455962.5,0.001558083
8,500,9,6,2465550,0.00104375
8,500,10,5,2476137.5,0.001220292
8,500,11,1,2502650,0.001801333
8,500,12,1,2462656.25,0.000839459
8,500,13,0,2496218.75,0.000324459
8,500,14,5,2428675,0.000810875
8,500,15,1,2438381.25,0.00092975
8,500,16,6,2501862.5,0.00087375
8,500,17,1,2497493.75,0.001251834
8,500,18,4,2450550,0.001133
8,500,19,4,2482875,0.001679375
8,1000,0,6,2667385.16,0.006147959
8,1000,1,4,2691621.77,0.00738525
8,1000,2,3,2660794.33,0.002800042
8,1000,3,5,2668760.38,0.005147625
8,1000,4,5,2618125.46,0.001595959
8,1000,5,3,2650265.39,0.002302334
8,1000,6,4,2651147.75,0.005018959
8,1000,7,6,2668708.86,0.004258625
8,1000,8,2,2652707.79,0.002627208
8,1000,9,6,2638878.12,0.003573375
8,1000,10,5,2657284.3,0.001964041
8,1000,11,1,2644706.58,0.001949542
8,1000,12,3,2624090.81,0.001778833
8,1000,13,5,2662444.14,0.002512666
8,1000,14,6,2682855.18,0.002774625
8,1000,15,6,2665486.9,0.003733167
8,1000,16,6,2670063.73,0.002499125
8,1000,17,6,2668575.13,0.003664375
8,1000,18,6,2642117.58,0.002667542
8,1000,19,3,2672974.87,0.002974625
8,2500,0,5,3598792.41,0.005764083
8,2500,1,5,3590290.07,0.010332375
8,2500,2,4,3673673.19,0.013181959
8,2500,3,6,3613263.07,0.006282333
8,2500,4,0,3626574.6,0.0032995
8,2500,5,5,3639787.26,0.005809
8,2500,6,6,3646321.81,0.006193666
8,2500,7,4,3653952.53,0.007836
8,2500,8,2,3608755.05,0.012394708
8,2500,9,3,3636686.17,0.011032084
8,2500,10,5,3598615.41,0.006590792
8,2500,11,6,3654527.91,0.011848917
8,2500,12,5,3614941.72,0.006590833
8,2500,13,5,3617968.17,0.006399833
8,2500,14,0,3650144.67,0.003905958
8,2500,15,6,3606739.37,0.003701125
8,2500,16,5,3677924.66,0.0058975
8,2500,17,3,3596201.69,0.020766417
8,2500,18,6,3620745.7,0.007732
8,2500,19,6,3653498.04,0.006098042
8,5000,0,6,5767449.9,0.009480542
8,5000,1,2,5693479.46,0.01872025
8,5000,2,1,5752495.78,0.009774417
8,5000,3,6,5683882.69,0.008893
8,5000,4,6,5683829.14000001,0.00778375
8,5000,5,4,5728374.15,0.007563917
8,5000,6,6,5840954.22,0.006895584
8,5000,7,6,5757361.48000001,0.006360208
8,5000,8,1,5714779.78,0.006308708
8,5000,9,6,5692639.69,0.007375792
8,5000,10,6,5730668.66,0.006251292
8,5000,11,6,5744523.69,0.005990083
8,5000,12,5,5826338.57,0.005490959
8,5000,13,6,5787234.26,0.005660917
8,5000,14,0,5764193.29,0.003007042
8,5000,15,6,5688610.14000001,0.009663042
8,5000,16,6,5712866.91,0.006586125
8,5000,17,6,5766125.81000001,0.0073845
8,5000,18,0,5812709.52,0.002340292
8,5000,19,6,5668004.38,0.007140042
12,500,0,6,2907931.25,0.011709916
12,500,1,6,2886450,0.016004875
12,500,2,1,2935100,0.010666042
12,500,3,1,2888593.75,0.007568792
12,500,4,5,2907756.25,0.029106708
12,500,5,6,2837931.25,0.017662625
12,500,6,6,2873631.25,0.027111542
12,500,7,6,2916425,0.009532083
12,500,8,6,2918912.5,0.017501125
12,500,9,6,2925825,0.017445542
12,500,10,3,2859325,0.016841583
12,500,11,6,2904212.5,0.015286125
12,500,12,6,2879231.25,0.01428175
12,500,13,4,2920006.25,0.02259675
12,500,14,6,2902331.25,0.023001667
12,500,15,3,2853025,0.0147755
12,500,16,6,2897081.25,0.012628333
12,500,17,6,2898393.75,0.02710225
12,500,18,5,2869431.25,0.018819291
12,500,19,3,2902550,0.016872834
12,1000,0,6,3450724.2,0.046784542
12,1000,1,6,3366422.08,0.03107975
12,1000,2,4,3377840.9,0.047239208
12,1000,3,6,3433300.08,0.03507
12,1000,4,4,3465467.6,0.034322
12,1000,5,5,3423327.88,0.033043084
12,1000,6,6,3404931.53,0.044195333
12,1000,7,3,3437576.38,0.036188666
12,1000,8,6,3440342.5,0.039795167
12,1000,9,6,3409060.2,0.032540792
12,1000,10,6,3452703.73,0.047184875
12,1000,11,6,3399800.95,0.036101917
12,1000,12,6,3429348.65,0.03052425
12,1000,13,6,3419797.99,0.040436958
12,1000,14,6,3474949.45,0.040108792
12,1000,15,6,3436419.77,0.03232525
12,1000,16,6,3456888.33,0.035985834
12,1000,17,6,3460585.45,0.029982458
12,1000,18,6,3427890.13,0.027584291
12,1000,19,3,3377255.56,0.044621208
12,2500,0,3,5021029.58,0.03370575
12,2500,1,6,4886020.34,0.027058667
12,2500,2,2,5009260.9,0.035769667
12,2500,3,6,4962319.53,0.03443875
12,2500,4,1,4847706.43,0.038295667
12,2500,5,6,4964598.77,0.028648417
12,2500,6,6,4799786.27,0.037002917
12,2500,7,3,4928738.33,0.030242667
12,2500,8,6,4735086.51,0.026315167
12,2500,9,5,5064782.28,0.024625708
12,2500,10,6,4813103.37,0.024380375
12,2500,11,0,4994257.94,0.0176385
12,2500,12,5,4956217.84,0.027638583
12,2500,13,6,5033409.01,0.02942025
12,2500,14,5,5110405.16,0.032179709
12,2500,15,6,5074085.82,0.042197959
12,2500,16,2,4884929.56,0.034786917
12,2500,17,2,4838460.01,0.034521209
12,2500,18,3,4920402.52,0.037110459
12,2500,19,6,4918408.53,0.030503416
12,5000,0,6,6965443.89,0.064110875
12,5000,1,6,6771635.78,0.067004292
12,5000,2,6,6667414.15,0.03983775
12,5000,3,2,6823560.32,0.052410125
12,5000,4,5,6798218.83,0.047432292
12,5000,5,4,6768566.06,0.054144875
12,5000,6,6,6497608.33,0.036211375
12,5000,7,5,6703922.76,0.051659625
12,5000,8,2,6989842.81,0.057165875
12,5000,9,6,6706028.08,0.051803125
12,5000,10,6,6980082.1,0.045801417
12,5000,11,6,6712703.66,0.046990708
12,5000,12,3,6733197.95,0.078001542
12,5000,13,4,6664460.05,0.063436917
12,5000,14,6,6743102.77,0.055790708
12,5000,15,2,6823216.77,0.053886416
12,5000,16,5,6980823.21,0.05459975
12,5000,17,6,6858499.52,0.054294792
12,5000,18,2,6738620.34,0.046004792
12,5000,19,6,6792790.83,0.056591833
