,Instance,User,Simulation,Backtracking based on percentiles,Total Allocated Demand,Computation Time(s)
0,4,500,0,0,948175.0,0.016206499999999124
1,4,500,1,1,966350.0,0.06233691700000321
2,4,500,2,0,960750.0,0.017204374999998606
3,4,500,3,1,945425.0,0.02798400000000356
4,4,500,4,1,944550.0,0.024964332999999783
5,4,500,5,0,947075.0,0.014250083999996832
6,4,500,6,1,967200.0,0.049978707999997596
7,4,500,7,0,943575.0,0.02201066699999643
8,4,500,8,1,964775.0,0.024107541999995874
9,4,500,9,0,954125.0,0.04359987599999471
10,4,500,10,1,960575.0,0.06339687500000224
11,4,500,11,0,959200.0,0.04557141699999079
12,4,500,12,0,961525.0,0.018151459000002035
13,4,500,13,0,957250.0,0.013893749000004618
14,4,500,14,0,933200.0,0.010361125000002858
15,4,500,15,0,946700.0,0.012471417000000429
16,4,500,16,1,954425.0,0.011890874999998857
17,4,500,17,0,957550.0,0.015454749999996409
18,4,500,18,0,954825.0,0.010290832999999111
19,4,500,19,1,964225.0,0.04115620900000039
