Instance,User,Simulation,Backtracking based on percentiles,Total Allocated Demand,Computation Time(s)
4,500,0,1,962750,0.002339625
4,500,1,0,950700,0.002322667
4,500,2,0,968825,0.001101458
4,500,3,0,946125,0.001542083
4,500,4,0,938600,0.000447667
4,500,5,1,953775,0.000427125
4,500,6,0,955300,0.000952208
4,500,7,0,956325,0.00106925
4,500,8,1,967275,0.001025166
4,500,9,0,960150,0.001154459
4,500,10,0,965825,0.001379584
4,500,11,0,958450,0.001756666
4,500,12,0,967475,0.000799417
4,500,13,0,959750,0.000572417
4,500,14,0,947075,0.00046375
4,500,15,0,955175,0.000372042
4,500,16,0,965950,0.000418708
4,500,17,0,967950,0.000596667
4,500,18,0,959575,0.000312541
4,500,19,0,972800,0.000692083
4,1000,0,0,1614150,0.011974542
4,1000,1,0,1624275,0.004127833
4,1000,2,0,1658500,0.002352375
4,1000,3,0,1602800,0.002890375
4,1000,4,0,1648075,0.0048355
4,1000,5,6,1640075,0.004384959
4,1000,6,0,1625150,0.003180417
4,1000,7,0,1614450,0.005171542
4,1000,8,0,1655375,0.003939875
4,1000,9,0,1609500,0.003121084
4,1000,10,0,1639850,0.00537675
4,1000,11,0,1622325,0.003577917
4,1000,12,1,1624175,0.006514
4,1000,13,1,1681075,0.01052775
4,1000,14,0,1593275,0.005192334
4,1000,15,0,1613650,0.002779708
4,1000,16,0,1614175,0.005738792
4,1000,17,0,1619975,0.006023041
4,1000,18,0,1643825,0.004794542
4,1000,19,0,1613100,0.005106875
4,2500,0,0,3392350,0.012362958
4,2500,1,6,3509350,0.012562459
4,2500,2,0,3371375,0.004659875
4,2500,3,0,3384425,0.00476675
4,2500,4,0,3338025,0.002524
4,2500,5,0,3359800,0.002649125
4,2500,6,0,3413650,0.00582475
4,2500,7,0,3390600,0.004513417
4,2500,8,0,3423900,0.0030515
4,2500,9,0,3476300,0.003009958
4,2500,10,0,3412650,0.004624208
4,2500,11,0,3371950,0.004024416
4,2500,12,0,3420725,0.00572625
4,2500,13,0,3428375,0.002755167
4,2500,14,0,3332600,0.002288375
4,2500,15,0,3365300,0.003561125
4,2500,16,0,3447575,0.004553958
4,2500,17,0,3345075,0.003796417
4,2500,18,0,3453850,0.00628675
4,2500,19,0,3340375,0.002799375
4,5000,0,6,5882750,0.0089065
4,5000,1,0,5767125,0.002188167
4,5000,2,0,5713250,0.00199975
4,5000,3,0,5758325,0.002190417
4,5000,4,0,5768800,0.003950042
