Instance,User,Simulation,DLX+ Objective,Gurobi Objective,Gurobi Objective Relative to DLX+ (%)
4,500,0,962750.0,948450.0,98.5146715138925
4,500,1,965875.0,950700.0,98.42888572537855
4,500,2,971325.0,968825.0,99.74261961753275
4,500,3,963325.0,946125.0,98.21451742662134
4,500,4,953100.0,938600.0,98.47864862029168
4,500,5,960450.0,953775.0,99.30501327502733
4,500,6,965650.0,955300.0,98.92818308911096
4,500,7,965225.0,956325.0,99.07793519645678
4,500,8,967275.0,959975.0,99.24530252513505
4,500,9,968700.0,960150.0,99.11737379993806
4,500,10,968200.0,965825.0,99.754699442264
4,500,11,961700.0,958450.0,99.66205677446189
4,500,12,973850.0,967475.0,99.34538173229963
4,500,13,962225.0,959750.0,99.74278365247214
4,500,14,955825.0,947075.0,99.08456045824288
4,500,15,961700.0,955175.0,99.32151398565041
4,500,16,969650.0,965950.0,99.61841901717115
4,500,17,970525.0,967950.0,99.73467968367636
4,500,18,966550.0,959575.0,99.2783611815219
4,500,19,974325.0,972800.0,99.84348138454828
4,1000,0,1636975.0,1614150.0,98.60565982986911
4,1000,1,1631275.0,1624275.0,99.57088780248579
4,1000,2,1663225.0,1658500.0,99.71591336109066
4,1000,3,1623075.0,1602800.0,98.75082790382453
4,1000,4,1665125.0,1648075.0,98.97605284888522
4,1000,5,1640075.0,1617625.0,98.63116016035852
4,1000,6,1642025.0,1625150.0,98.97230553737002
4,1000,7,1642300.0,1614450.0,98.30420751385252
4,1000,8,1670825.0,1655375.0,99.07530710876364
4,1000,9,1627250.0,1609500.0,98.909202642495
4,1000,10,1653275.0,1639850.0,99.18797538219594
4,1000,11,1651175.0,1622325.0,98.25275939861008
4,1000,12,1632425.0,1621675.0,99.3414705116621
4,1000,13,1685275.0,1668025.0,98.97642817937725
4,1000,14,1635325.0,1593275.0,97.42864568205097
4,1000,15,1628725.0,1613650.0,99.07442938494835
4,1000,16,1624925.0,1610800.0,99.13072911057434
4,1000,17,1627600.0,1619975.0,99.53151880068813
4,1000,18,1651125.0,1643825.0,99.55787720493603
4,1000,19,1630400.0,1613100.0,98.93891069676152
4,2500,0,3411675.0,3392350.0,99.43356269281219
4,2500,1,3509350.0,3420600.0,97.47104164588885
4,2500,2,3425300.0,3371375.0,98.42568534142995
