Instance,User,Simulation,Solver,Computation Time(s),Total Allocated Demand
4,500,0,Gurobi,0.069534166,979500.0
4,500,1,Gurobi,0.083190084,983450.0
4,500,2,Gurobi,0.081255833,981100.0
4,500,3,Gurobi,0.049378875,980275.0
4,500,4,Gurobi,0.03877025,980100.0
4,500,5,Gurobi,0.0762365,976925.0
4,500,6,Gurobi,0.077827917,982775.0
4,500,7,Gurobi,0.095974875,982050.0
4,500,8,Gurobi,0.062276834,979950.0
4,500,9,Gurobi,0.109007875,978075.0
4,500,10,Gurobi,0.087398083,981125.0
4,500,11,Gurobi,0.069655542,982825.0
4,500,12,Gurobi,0.064532875,981050.0
4,500,13,Gurobi,0.08207875,978500.0
4,500,14,Gurobi,0.063702708,977550.0
4,500,15,Gurobi,0.053685417,981950.0
4,500,16,Gurobi,0.052297,981150.0
4,500,17,Gurobi,0.075995875,983600.0
4,500,18,Gurobi,0.045441708,974675.0
4,500,19,Gurobi,0.063629875,982400.0
4,1000,0,Gurobi,0.219869,1686225.0
4,1000,1,Gurobi,0.125586875,1682025.0
4,1000,2,Gurobi,0.225614709,1702550.0
4,1000,3,Gurobi,0.252147459,1693475.0
4,1000,4,Gurobi,0.289406208,1691250.0
4,1000,5,Gurobi,0.097637375,1676800.0
4,1000,6,Gurobi,0.226494208,1682725.0
4,1000,7,Gurobi,0.169485334,1700625.0
4,1000,8,Gurobi,0.148616958,1700100.0
4,1000,9,Gurobi,0.213368666,1692825.0
4,1000,10,Gurobi,0.255082833,1690575.0
4,1000,11,Gurobi,0.244904708,1687100.0
4,1000,12,Gurobi,0.250343292,1684200.0
4,1000,13,Gurobi,0.165214417,1707750.0
4,1000,14,Gurobi,0.215926375,1687100.0
4,1000,15,Gurobi,0.137190958,1686000.0
4,1000,16,Gurobi,0.12650425,1689300.0
4,1000,17,Gurobi,0.238272833,1694475.0
4,1000,18,Gurobi,0.203994583,1687225.0
4,1000,19,Gurobi,0.169009584,1688575.0
4,2500,0,Gurobi,0.141427042,3557175.0
4,2500,1,Gurobi,0.209592708,3596850.0
4,2500,2,Gurobi,0.132204916,3550675.0
4,2500,3,Gurobi,0.22928,3563700.0
4,2500,4,Gurobi,0.18071825,3566000.0
4,2500,5,Gurobi,0.269409125,3547950.0
4,2500,6,Gurobi,0.153756417,3541975.0
4,2500,7,Gurobi,0.209062959,3556425.0
4,2500,8,Gurobi,0.138944,3569950.0
4,2500,9,Gurobi,0.133738792,3593700.0
4,2500,10,Gurobi,0.182398667,3568825.0
4,2500,11,Gurobi,0.892886375,3567550.0
4,2500,12,Gurobi,0.122423375,3556275.0
4,2500,13,Gurobi,0.124595,3554950.0
4,2500,14,Gurobi,0.123570583,3581550.0
4,2500,15,Gurobi,0.625765834,3557775.0
4,2500,16,Gurobi,0.286589666,3593875.0
4,2500,17,Gurobi,0.152608708,3538350.0
4,2500,18,Gurobi,0.16654,3570575.0
4,2500,19,Gurobi,0.15058675,3550600.0
4,5000,0,Gurobi,1.252733333,6135925.0
4,5000,1,Gurobi,0.20840725,6125525.0
4,5000,2,Gurobi,0.858481459,6126650.0
4,5000,3,Gurobi,2.23436475,6186675.0
4,5000,4,Gurobi,2.274474,6064800.0
4,5000,5,Gurobi,2.007573167,6105275.0
4,5000,6,Gurobi,0.142496667,6172875.0
4,5000,7,Gurobi,1.260550208,6072650.0
4,5000,8,Gurobi,0.350570875,6196900.0
4,5000,9,Gurobi,0.183333375,6259575.0
4,5000,10,Gurobi,0.209205083,6162200.0
4,5000,11,Gurobi,1.842487,6066250.0
4,5000,12,Gurobi,0.407104833,6153525.0
4,5000,13,Gurobi,0.196309875,6198325.0
4,5000,14,Gurobi,0.976755959,6196575.0
4,5000,15,Gurobi,0.243212,6092500.0
4,5000,16,Gurobi,1.21125975,6132450.0
4,5000,17,Gurobi,0.211859375,6203425.0
4,5000,18,Gurobi,0.770098083,6110475.0
4,5000,19,Gurobi,0.285860792,6172850.0
8,500,0,Gurobi,0.024186875,2495956.25
8,500,1,Gurobi,0.02449375,2511881.25
8,500,2,Gurobi,0.042508042,2514418.75
8,500,3,Gurobi,0.017183209,2487600.0
8,500,4,Gurobi,0.021069125,2508556.25
8,500,5,Gurobi,0.022873916,2491100.0
8,500,6,Gurobi,0.023612333,2514418.75
8,500,7,Gurobi,0.019006459,2474693.75
8,500,8,Gurobi,0.023042417,2494468.75
8,500,9,Gurobi,0.025077917,2485718.75
8,500,10,Gurobi,0.0245855,2491537.5
8,500,11,Gurobi,0.027403583,2515468.75
8,500,12,Gurobi,0.021347083,2487243.75
8,500,13,Gurobi,0.020311958,2509825.0
8,500,14,Gurobi,0.018931,2437775.0
8,500,15,Gurobi,0.03475325,2486681.25
8,500,16,Gurobi,0.040224375,2517568.75
8,500,17,Gurobi,0.034437208,2514068.75
8,500,18,Gurobi,0.02289775,2475793.75
8,500,19,Gurobi,0.030483459,2511225.0
8,1000,0,Gurobi,0.080588709,2699110.02
8,1000,1,Gurobi,0.059728125,2715595.18
8,1000,2,Gurobi,0.044115375,2676848.81
8,1000,3,Gurobi,0.061526417,2681608.62
