Instance,User,Simulation,Solver,Computation Time(s),Total Allocated Demand
4,500,0,Gurobi,0.00464987754821777,948450.0
4,500,1,Gurobi,0.0042271614074707,950700.0
4,500,2,Gurobi,0.00366878509521484,968825.0
4,500,3,Gurobi,0.00225186347961426,946125.0
4,500,4,Gurobi,0.003173828125,938600.0
4,500,5,Gurobi,0.0023961067199707,953775.0
4,500,6,Gurobi,0.0023341178894043,955300.0
4,500,7,Gurobi,0.00394916534423828,956325.0
4,500,8,Gurobi,0.00154685974121094,959975.0
4,500,9,Gurobi,0.0030970573425293,960150.0
4,500,10,Gurobi,0.00417494773864746,965825.0
4,500,11,Gurobi,0.00263309478759766,958450.0
4,500,12,Gurobi,0.0012810230255127,967475.0
4,500,13,Gurobi,0.0016789436340332,959750.0
4,500,14,Gurobi,0.000955104827880859,947075.0
4,500,15,Gurobi,0.0026390552520752,955175.0
4,500,16,Gurobi,0.00361990928649902,965950.0
4,500,17,Gurobi,0.00230288505554199,967950.0
4,500,18,Gurobi,0.00149321556091309,959575.0
4,500,19,Gurobi,0.0116541385650635,972800.0
4,1000,0,Gurobi,0.0109710693359375,1614150.0
4,1000,1,Gurobi,0.00782084465026855,1624275.0
4,1000,2,Gurobi,0.00908398628234863,1658500.0
4,1000,3,Gurobi,0.0189759731292725,1602800.0
4,1000,4,Gurobi,0.0130109786987305,1648075.0
4,1000,5,Gurobi,0.0088040828704834,1617625.0
4,1000,6,Gurobi,0.00663018226623535,1625150.0
4,1000,7,Gurobi,0.0153679847717285,1614450.0
4,1000,8,Gurobi,0.0112879276275635,1655375.0
4,1000,9,Gurobi,0.00861716270446777,1609500.0
4,1000,10,Gurobi,0.0119240283966064,1639850.0
4,1000,11,Gurobi,0.0100650787353516,1622325.0
4,1000,12,Gurobi,0.0125679969787598,1621675.0
4,1000,13,Gurobi,0.0117380619049072,1668025.0
4,1000,14,Gurobi,0.016057014465332,1593275.0
4,1000,15,Gurobi,0.0115501880645752,1613650.0
4,1000,16,Gurobi,0.00963497161865234,1610800.0
4,1000,17,Gurobi,0.0114810466766357,1619975.0
4,1000,18,Gurobi,0.00802183151245117,1643825.0
4,1000,19,Gurobi,0.00966715812683105,1613100.0
4,2500,0,Gurobi,0.0140931606292725,3392350.0
4,2500,1,Gurobi,0.00992202758789062,3420600.0
4,2500,2,Gurobi,0.013070821762085,3371375.0
4,2500,3,Gurobi,0.00978398323059082,3384425.0
4,2500,4,Gurobi,0.0145869255065918,3338025.0
4,2500,5,Gurobi,0.0182511806488037,3332675.0
4,2500,6,Gurobi,0.0157260894775391,3413650.0
4,2500,7,Gurobi,0.00609898567199707,3390600.0
4,2500,8,Gurobi,0.0166099071502686,3423900.0
4,2500,9,Gurobi,0.00984883308410645,3476300.0
4,2500,10,Gurobi,0.0114378929138184,3412650.0
4,2500,11,Gurobi,0.0163989067077637,3328300.0
4,2500,12,Gurobi,0.0171639919281006,3420725.0
4,2500,13,Gurobi,0.0126311779022217,3428100.0
4,2500,14,Gurobi,0.00900912284851074,3332600.0
4,2500,15,Gurobi,0.0108749866485596,3365300.0
4,2500,16,Gurobi,0.0109200477600098,3438700.0
4,2500,17,Gurobi,0.0236880779266357,3345075.0
4,2500,18,Gurobi,0.0111491680145264,3453850.0
4,2500,19,Gurobi,0.0084528923034668,3314175.0
4,5000,0,Gurobi,0.00721096992492676,5788875.0
4,5000,1,Gurobi,0.00726985931396484,5767125.0
4,5000,2,Gurobi,0.015516996383667,5712925.0
4,5000,3,Gurobi,0.0166890621185303,5758325.0
4,5000,4,Gurobi,0.00973415374755859,5768800.0
4,5000,5,Gurobi,0.0084841251373291,5756550.0
4,5000,6,Gurobi,0.00655984878540039,5746700.0
4,5000,7,Gurobi,0.00733399391174316,5640350.0
4,5000,8,Gurobi,0.00699615478515625,5750950.0
4,5000,9,Gurobi,0.0109069347381592,5826625.0
4,5000,10,Gurobi,0.00658583641052246,5876850.0
4,5000,11,Gurobi,0.0127811431884766,5758375.0
4,5000,12,Gurobi,0.00682306289672852,5803775.0
4,5000,13,Gurobi,0.0125181674957275,5786675.0
4,5000,14,Gurobi,0.00846099853515625,5891675.0
4,5000,15,Gurobi,0.00884389877319336,5715125.0
4,5000,16,Gurobi,0.00932598114013672,5710125.0
4,5000,17,Gurobi,0.00867104530334473,5765700.0
4,5000,18,Gurobi,0.00955104827880859,5793050.0
4,5000,19,Gurobi,0.00815916061401367,5783225.0
8,500,0,Gurobi,0.00138592720031738,2461656.25
8,500,1,Gurobi,0.000926971435546875,2497925.0
8,500,2,Gurobi,0.00223803520202637,2482262.5
8,500,3,Gurobi,0.0010380744934082,2464331.25
8,500,4,Gurobi,0.00103998184204102,2483006.25
8,500,5,Gurobi,0.00121378898620605,2435318.75
8,500,6,Gurobi,0.00177812576293945,2463187.5
8,500,7,Gurobi,0.00127696990966797,2437556.25
8,500,8,Gurobi,0.00163698196411133,2451243.75
8,500,9,Gurobi,0.00158309936523438,2458725.0
8,500,10,Gurobi,0.00155210494995117,2467387.5
8,500,11,Gurobi,0.00162196159362793,2497356.25
8,500,12,Gurobi,0.000966787338256836,2459512.5
8,500,13,Gurobi,0.001068115234375,2496218.75
8,500,14,Gurobi,0.00111985206604004,2420800.0
8,500,15,Gurobi,0.00109982490539551,2434181.25
8,500,16,Gurobi,0.00171709060668945,2498537.5
8,500,17,Gurobi,0.0015559196472168,2491587.5
8,500,18,Gurobi,0.0012049674987793,2434675.0
8,500,19,Gurobi,0.00215005874633789,2470231.25
8,1000,0,Gurobi,0.00596094131469727,2663622.24
8,1000,1,Gurobi,0.00661897659301758,2679586.93
8,1000,2,Gurobi,0.00218415260314941,2655439.75
8,1000,3,Gurobi,0.00412917137145996,2665137.18
8,1000,4,Gurobi,0.0021049976348877,2609156.29
8,1000,5,Gurobi,0.00202107429504395,2639564.7
8,1000,6,Gurobi,0.00386881828308105,2644727.07
8,1000,7,Gurobi,0.00373291969299316,2667227.1
8,1000,8,Gurobi,0.00197196006774902,2651563.01
8,1000,9,Gurobi,0.00733804702758789,2628762.14
8,1000,10,Gurobi,0.0032658576965332,2640203.74
8,1000,11,Gurobi,0.00295090675354004,2639617.65
8,1000,12,Gurobi,0.00284600257873535,2611093.23
8,1000,13,Gurobi,0.00236392021179199,2659807.66
8,1000,14,Gurobi,0.00391101837158203,2676966.01
8,1000,15,Gurobi,0.0080420970916748,2651188.28
8,1000,16,Gurobi,0.00268316268920898,2656480.35
8,1000,17,Gurobi,0.00390005111694336,2653148.39
8,1000,18,Gurobi,0.00195908546447754,2634188.33
8,1000,19,Gurobi,0.00295019149780273,2665974.87
8,2500,0,Gurobi,0.00481414794921875,3561655.45
8,2500,1,Gurobi,0.0126957893371582,3568908.15
8,2500,2,Gurobi,0.00618505477905273,3649189.66
8,2500,3,Gurobi,0.00479316711425781,3580673.66
8,2500,4,Gurobi,0.00460505485534668,3626574.6
8,2500,5,Gurobi,0.00859498977661133,3612761.73
8,2500,6,Gurobi,0.00638699531555176,3639279.81
8,2500,7,Gurobi,0.0077512264251709,3587791.21
8,2500,8,Gurobi,0.0147130489349365,3577754.85
8,2500,9,Gurobi,0.00608611106872559,3621894.82
8,2500,10,Gurobi,0.00597500801086426,3588406.61
8,2500,11,Gurobi,0.00665712356567383,3635303.67
8,2500,12,Gurobi,0.0078890323638916,3606985.33
8,2500,13,Gurobi,0.0127480030059814,3596022.98
8,2500,14,Gurobi,0.0153529644012451,3650144.67
8,2500,15,Gurobi,0.0033419132232666,3600451.48
8,2500,16,Gurobi,0.0105481147766113,3654810.17
8,2500,17,Gurobi,0.00789308547973633,3555003.54
8,2500,18,Gurobi,0.0105059146881104,3599510.85
8,2500,19,Gurobi,0.00985908508300781,3646697.96
8,5000,0,Gurobi,0.00525498390197754,5763644.7
8,5000,1,Gurobi,0.00600004196166992,5681596.35
8,5000,2,Gurobi,0.00700807571411133,5741409.04
8,5000,3,Gurobi,0.00984001159667969,5651606.9
8,5000,4,Gurobi,0.0115549564361572,5638847.09
8,5000,5,Gurobi,0.0074160099029541,5688118.27
8,5000,6,Gurobi,0.00948214530944824,5826557.2
8,5000,7,Gurobi,0.00707101821899414,5752453.08
8,5000,8,Gurobi,0.0110399723052979,5696979.48
8,5000,9,Gurobi,0.00785493850708008,5681485.33
8,5000,10,Gurobi,0.00495004653930664,5698689.02
8,5000,11,Gurobi,0.00774478912353516,5726067.98
8,5000,12,Gurobi,0.00531792640686035,5813140.49
8,5000,13,Gurobi,0.00929903984069824,5771155.87
8,5000,14,Gurobi,0.00965309143066406,5750458.1
8,5000,15,Gurobi,0.00516200065612793,5684368.77
8,5000,16,Gurobi,0.0128500461578369,5704542.44
8,5000,17,Gurobi,0.0100269317626953,5700958.63
8,5000,18,Gurobi,0.00576996803283691,5812709.52
8,5000,19,Gurobi,0.00620102882385254,5612887.73
12,500,0,Gurobi,0.013746976852417,2830331.25
12,500,1,Gurobi,0.0234949588775635,2772262.5
12,500,2,Gurobi,0.0128269195556641,2763250.0
12,500,3,Gurobi,0.0130720138549805,2721775.0
12,500,4,Gurobi,0.0263350009918213,2888856.25
12,500,5,Gurobi,0.0235228538513184,2758275.0
