Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s),Threads,Optimal Demand,Optimality Gap (%),Problem Type
4,500,0,1,962750.0,0.001451417,1,979500.0,1.7100561510974988,Realistic
4,500,1,1,965875.0,0.002216791,1,983450.0,1.7870761096141137,Realistic
4,500,2,6,971325.0,0.001738917,1,981100.0,0.9963306492712262,Realistic
4,500,3,6,963325.0,0.001368625,1,980275.0,1.729106628242075,Realistic
4,500,4,1,953100.0,0.000661416,1,980100.0,2.7548209366391188,Realistic
4,500,5,5,960450.0,0.001721292,1,976925.0,1.6864140031220411,Realistic
4,500,6,1,965650.0,0.001762209,1,982775.0,1.7425148177354939,Realistic
4,500,7,4,965225.0,0.001794001,1,982050.0,1.7132528893640853,Realistic
4,500,8,1,967275.0,0.001434166,1,979950.0,1.2934333384356345,Realistic
4,500,9,5,968700.0,0.001341,1,978075.0,0.9585154512690744,Realistic
4,500,10,1,968200.0,0.001850292,1,981125.0,1.3173652694610778,Realistic
4,500,11,1,961700.0,0.001109542,1,982825.0,2.1494162236410346,Realistic
4,500,12,1,973850.0,0.000963958,1,981050.0,0.7339075480352684,Realistic
4,500,13,5,962225.0,0.001520125,1,978500.0,1.6632600919775167,Realistic
4,500,14,1,955825.0,0.000855625,1,977550.0,2.22239271648509,Realistic
4,500,15,6,961700.0,0.000857125,1,981950.0,2.062223127450481,Realistic
4,500,16,4,969650.0,0.00146075,1,981150.0,1.1720939713601386,Realistic
4,500,17,5,970525.0,0.001781375,1,983600.0,1.329300528670191,Realistic
4,500,18,1,966550.0,0.000824334,1,974675.0,0.8336112037345782,Realistic
4,500,19,6,974325.0,0.001249,1,982400.0,0.8219666123778502,Realistic
4,1000,0,6,1636975.0,0.003967166,1,1686225.0,2.9207252887366755,Realistic
4,1000,1,1,1631275.0,0.006262668,1,1682025.0,3.0171965339397455,Realistic
4,1000,2,5,1663225.0,0.005907124,1,1702550.0,2.309770638160406,Realistic
4,1000,3,5,1623075.0,0.006440084,1,1693475.0,4.157132523361726,Realistic
4,1000,4,6,1651875.0,0.003989458,1,1691250.0,2.328159645232816,Realistic
4,1000,5,4,1640075.0,0.002835209,1,1676800.0,2.190183683206107,Realistic
4,1000,6,1,1642025.0,0.003661542,1,1682725.0,2.4186958653374733,Realistic
4,1000,7,6,1631175.0,0.003882751,1,1700625.0,4.083792723263506,Realistic
4,1000,8,1,1667425.0,0.003840501,1,1700100.0,1.9219457678960061,Realistic
4,1000,9,4,1627250.0,0.003906458,1,1692825.0,3.8737022432915396,Realistic
4,1000,10,6,1645025.0,0.006683876,1,1690575.0,2.6943495556245654,Realistic
4,1000,11,1,1640800.0,0.005955125,1,1687100.0,2.7443542172959514,Realistic
4,1000,12,2,1632425.0,0.003218167,1,1684200.0,3.0741598384989905,Realistic
4,1000,13,6,1671825.0,0.004318667,1,1707750.0,2.103645147123408,Realistic
4,1000,14,3,1608775.0,0.005707124,1,1687100.0,4.642581945350009,Realistic
4,1000,15,1,1623750.0,0.005902834,1,1686000.0,3.692170818505338,Realistic
4,1000,16,1,1621550.0,0.003713125,1,1689300.0,4.010536908778784,Realistic
4,1000,17,2,1627600.0,0.004185417,1,1694475.0,3.946650142374482,Realistic
4,1000,18,1,1651125.0,0.003541458,1,1687225.0,2.1396079361081064,Realistic
4,1000,19,1,1630400.0,0.003665958,1,1688575.0,3.4452126793302043,Realistic
4,2500,0,1,3411675.0,0.003678042,1,3557175.0,4.090324485019714,Realistic
4,2500,1,1,3488800.0,0.005679208,1,3596850.0,3.0040174041174916,Realistic
4,2500,2,6,3425300.0,0.005900541,1,3550675.0,3.531018749955994,Realistic
4,2500,3,1,3413125.0,0.005849667,1,3563700.0,4.225243426775542,Realistic
4,2500,4,6,3363900.0,0.004261375,1,3566000.0,5.667414469994392,Realistic
4,2500,5,3,3399775.0,0.004579,1,3547950.0,4.176355360137545,Realistic
4,2500,6,1,3448775.0,0.005890917,1,3541975.0,2.631300333853288,Realistic
4,2500,7,1,3409375.0,0.005439876,1,3556425.0,4.134770169481994,Realistic
4,2500,8,1,3446950.0,0.003743625,1,3569950.0,3.4454264065323046,Realistic
