Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s),Threads,Gurobi Time(s),Speedup,Problem Type
4,500,0,1,962750.0,0.001451417,1,0.069534166,47.907779776590736,Realistic
4,500,1,1,965875.0,0.002216791,1,0.083190084,37.52725629073738,Realistic
4,500,2,6,971325.0,0.001738917,1,0.081255833,46.7278386489982,Realistic
4,500,3,6,963325.0,0.001368625,1,0.049378875,36.07918531372728,Realistic
4,500,4,1,953100.0,0.000661416,1,0.03877025,58.61704282932376,Realistic
4,500,5,5,960450.0,0.001721292,1,0.0762365,44.29027730332797,Realistic
4,500,6,1,965650.0,0.001762209,1,0.077827917,44.16497532358534,Realistic
4,500,7,4,965225.0,0.001794001,1,0.095974875,53.497670848566976,Realistic
4,500,8,1,967275.0,0.001434166,1,0.062276834,43.423727797200605,Realistic
4,500,9,5,968700.0,0.001341,1,0.109007875,81.28849739000746,Realistic
4,500,10,1,968200.0,0.001850292,1,0.087398083,47.23475159596432,Realistic
4,500,11,1,961700.0,0.001109542,1,0.069655542,62.778643800775455,Realistic
4,500,12,1,973850.0,0.000963958,1,0.064532875,66.94573311285347,Realistic
4,500,13,5,962225.0,0.001520125,1,0.08207875,53.99473727489516,Realistic
4,500,14,1,955825.0,0.000855625,1,0.063702708,74.45166749452154,Realistic
4,500,15,6,961700.0,0.000857125,1,0.053685417,62.63429138107043,Realistic
4,500,16,4,969650.0,0.00146075,1,0.052297,35.80147184665412,Realistic
4,500,17,5,970525.0,0.001781375,1,0.075995875,42.661357097747526,Realistic
4,500,18,1,966550.0,0.000824334,1,0.045441708,55.125359381027586,Realistic
4,500,19,6,974325.0,0.001249,1,0.063629875,50.94465572457967,Realistic
4,1000,0,6,1636975.0,0.003967166,1,0.219869,55.422182989065746,Realistic
4,1000,1,1,1631275.0,0.006262668,1,0.125586875,20.05325445960092,Realistic
4,1000,2,5,1663225.0,0.005907124,1,0.225614709,38.1936639555899,Realistic
4,1000,3,5,1623075.0,0.006440084,1,0.252147459,39.15282145388166,Realistic
4,1000,4,6,1651875.0,0.003989458,1,0.289406208,72.54273838701899,Realistic
