Instance,User,Simulation,Backtracking percentiles idx,Total Allocated Demand,Computation Time(s)
4,500,0,1,962750.0,0.001956168
4,500,1,1,965875.0,0.002811417
4,500,2,5,971325.0,0.002163707
4,500,3,6,963325.0,0.002569292
4,500,4,1,953100.0,0.000849416
4,500,5,6,960450.0,0.001519917
4,500,6,1,965650.0,0.001914916
4,500,7,6,965225.0,0.002871875
4,500,8,1,967275.0,0.000906667
4,500,9,6,968700.0,0.002229583
4,500,10,6,968200.0,0.003559792
4,500,11,1,961700.0,0.001068542
4,500,12,6,973850.0,0.001736583
4,500,13,6,962225.0,0.001283958
4,500,14,1,955825.0,0.000631167
4,500,15,6,961700.0,0.001971916
4,500,16,5,969650.0,0.0013975
4,500,17,6,970525.0,0.001891667
4,500,18,1,966550.0,0.000561209
4,500,19,6,974325.0,0.002135709
4,1000,0,6,1636975.0,0.007161125
4,1000,1,6,1631275.0,0.007434959
4,1000,2,5,1663225.0,0.007199583
4,1000,3,6,1623075.0,0.008493542
4,1000,4,4,1665125.0,0.007559625
4,1000,5,4,1640075.0,0.006573041
4,1000,6,6,1642025.0,0.008720833
4,1000,7,5,1642300.0,0.008053541
4,1000,8,6,1670825.0,0.011683958
4,1000,9,4,1627250.0,0.007601333
4,1000,10,2,1653275.0,0.012505792
4,1000,11,6,1651175.0,0.0101295
4,1000,12,6,1632425.0,0.008177458
4,1000,13,6,1685275.0,0.011501041
4,1000,14,6,1635325.0,0.009583541
4,1000,15,5,1628725.0,0.008098625
4,1000,16,5,1624925.0,0.00894025
4,1000,17,4,1627600.0,0.009391916
4,1000,18,4,1651125.0,0.009533292
4,1000,19,5,1630400.0,0.007323292
4,2500,0,6,3411675.0,0.00821175
4,2500,1,6,3509350.0,0.009801874
4,2500,2,6,3425300.0,0.006798083
4,2500,3,6,3413125.0,0.007469084
4,2500,4,4,3423675.0,0.008888625
4,2500,5,6,3426425.0,0.007024958
4,2500,6,6,3448775.0,0.008253708
4,2500,7,6,3411675.0,0.00843675
4,2500,8,5,3463200.0,0.011018417
4,2500,9,5,3495750.0,0.009601375
4,2500,10,6,3481000.0,0.008893291
4,2500,11,2,3448175.0,0.010121126
4,2500,12,6,3429125.0,0.010858208
4,2500,13,6,3450375.0,0.008526459
4,2500,14,6,3419325.0,0.007407583
